country;id;year;;;;
Angola;AGO;2012;0,0004;0,4636;0,4534;0,0826
Angola;AGO;2013;0,0005;0,4338;0,4843;0,0814
Angola;AGO;2014;0,0005;0,4475;0,4699;0,0821
Antigua & Barbuda;ATG;1990;0,0006;0,4255;0,4913;0,0827
Antigua & Barbuda;ATG;1991;0;0,6835;0,2824;0,034
Antigua & Barbuda;ATG;1992;0,0078;0,6581;0,299;0,0351
Antigua & Barbuda;ATG;1993;0,0154;0,642;0,3074;0,0352
Antigua & Barbuda;ATG;1994;0,0222;0,6359;0,3069;0,0349
Antigua & Barbuda;ATG;1995;0,0293;0,6198;0,3151;0,0358
Antigua & Barbuda;ATG;1996;0,0353;0,6148;0,3143;0,0357
Antigua & Barbuda;ATG;1997;0,0621;0,606;0,2983;0,0336
Antigua & Barbuda;ATG;1998;0,0855;0,5955;0,2868;0,0322
Antigua & Barbuda;ATG;1999;0,1068;0,5836;0,2786;0,031
Antigua & Barbuda;ATG;2000;0,1259;0,5728;0,2714;0,0299
Antigua & Barbuda;ATG;2001;0,1422;0,5664;0,2634;0,028
Antigua & Barbuda;ATG;2002;0,1672;0,5565;0,2496;0,0267
Antigua & Barbuda;ATG;2003;0,188;0,551;0,2357;0,0253
Antigua & Barbuda;ATG;2004;0,2028;0,5529;0,2203;0,0239
Antigua & Barbuda;ATG;2005;0,2198;0,5464;0,2111;0,0227
Antigua & Barbuda;ATG;2006;0,2384;0,5346;0,2051;0,0219
Antigua & Barbuda;ATG;2007;0,2304;0,5743;0,1765;0,0187
Antigua & Barbuda;ATG;2008;0,2439;0,5687;0,1695;0,018
Antigua & Barbuda;ATG;2009;0,2599;0,5581;0,1649;0,0172
Antigua & Barbuda;ATG;2010;0,2701;0,5558;0,1578;0,0163
Antigua & Barbuda;ATG;2011;0,2875;0,5569;0,1445;0,0112
Antigua & Barbuda;ATG;2012;0,3318;0,5001;0,156;0,012
Antigua & Barbuda;ATG;2013;0,344;0,4922;0,1522;0,0117
Antigua & Barbuda;ATG;2014;0,3588;0,4797;0,15;0,0114
Argentina;ARG;1990;0,3705;0,4713;0,1471;0,0111
Argentina;ARG;1991;0,0055;0,5658;0,3041;0,1246
Argentina;ARG;1992;0,0047;0,5742;0,2992;0,1218
Argentina;ARG;1993;0,004;0,5729;0,3002;0,1229
Argentina;ARG;1994;0,0034;0,5765;0,2988;0,1213
Argentina;ARG;1995;0,0027;0,5827;0,2934;0,1212
Argentina;ARG;1996;0,002;0,5855;0,2925;0,12
Argentina;ARG;1997;0,0022;0,5991;0,2797;0,119
Argentina;ARG;1998;0,0024;0,6027;0,2776;0,1173
Argentina;ARG;1999;0,0026;0,6112;0,2713;0,1148
Argentina;ARG;2000;0,0028;0,6063;0,2752;0,1156
Argentina;ARG;2001;0,003;0,6031;0,2739;0,1199
Argentina;ARG;2002;0,0036;0,606;0,2681;0,1223
Argentina;ARG;2003;0,0042;0,5981;0,2777;0,12
Argentina;ARG;2004;0,0046;0,5909;0,2788;0,1257
Argentina;ARG;2005;0,0049;0,6119;0,2671;0,1161
Argentina;ARG;2006;0,0055;0,6141;0,2661;0,1144
Argentina;ARG;2007;0,0056;0,6309;0,2533;0,1102
Argentina;ARG;2008;0,0061;0,6278;0,2511;0,115
Argentina;ARG;2009;0,0064;0,6391;0,2457;0,1087
Argentina;ARG;2010;0,0073;0,6515;0,2424;0,0989
Argentina;ARG;2011;0,008;0,6576;0,2296;0,1048
Argentina;ARG;2012;0,0085;0,6615;0,2258;0,1042
Argentina;ARG;2013;0,0089;0,6642;0,2272;0,0997
Argentina;ARG;2014;0,0095;0,6521;0,2324;0,106
Armenia;ARM;1990;0,0099;0,6587;0,2262;0,1052
Armenia;ARM;1991;0,0006;0,8396;0,1281;0,0317
Armenia;ARM;1992;0,0006;0,8514;0,1189;0,0291
Armenia;ARM;1993;0,0012;0,764;0,1824;0,0524
Armenia;ARM;1994;0,0022;0,6231;0,2937;0,0809
Armenia;ARM;1995;0,0034;0,4961;0,397;0,1035
Armenia;ARM;1996;0,0033;0,5672;0,3378;0,0916
Armenia;ARM;1997;0,0056;0,5026;0,381;0,1108
Armenia;ARM;1998;0,0066;0,5796;0,3182;0,0956
Armenia;ARM;1999;0,0082;0,605;0,2931;0,0937
Armenia;ARM;2000;0,0106;0,5949;0,2967;0,0978
Armenia;ARM;2001;0,0116;0,6392;0,2573;0,0919
Armenia;ARM;2002;0,0155;0,637;0,2564;0,0911
Armenia;ARM;2003;0,021;0,5854;0,2802;0,1135
Armenia;ARM;2004;0,0236;0,608;0,266;0,1024
Armenia;ARM;2005;0,0261;0,6123;0,2566;0,105
Armenia;ARM;2006;0,0268;0,651;0,2315;0,0907
Armenia;ARM;2007;0,0296;0,6423;0,236;0,0922
Armenia;ARM;2008;0,0297;0,6661;0,2218;0,0824
Armenia;ARM;2009;0,0305;0,6798;0,2132;0,0766
Armenia;ARM;2010;0,0384;0,6281;0,246;0,0875
Armenia;ARM;2011;0,0427;0,6137;0,2573;0,0863
Armenia;ARM;2012;0,0441;0,6258;0,2466;0,0835
Armenia;ARM;2013;0,0425;0,6521;0,2259;0,0795
Armenia;ARM;2014;0,0456;0,6286;0,2351;0,0906
Australia;AUS;1990;0,0485;0,6234;0,2384;0,0897
Australia;AUS;1991;0,011;0,5438;0,2774;0,1678
Australia;AUS;1992;0,0103;0,547;0,2759;0,1668
Australia;AUS;1993;0,0095;0,5544;0,2714;0,1646
Australia;AUS;1994;0,0088;0,5612;0,2669;0,1631
Australia;AUS;1995;0,0079;0,566;0,2655;0,1607
Australia;AUS;1996;0,007;0,5784;0,2567;0,1579
Australia;AUS;1997;0,0075;0,595;0,2489;0,1486
Australia;AUS;1998;0,0079;0,5987;0,2474;0,146
Australia;AUS;1999;0,008;0,6084;0,2374;0,1462
Australia;AUS;2000;0,0079;0,5775;0,2458;0,1688
Australia;AUS;2001;0,0081;0,5712;0,2453;0,1754
Australia;AUS;2002;0,0083;0,6065;0,2235;0,1617
Australia;AUS;2003;0,0091;0,6179;0,2188;0,1541
Australia;AUS;2004;0,0108;0,6808;0,1944;0,114
Australia;AUS;2005;0,0111;0,6594;0,1979;0,1316
Australia;AUS;2006;0,0125;0,6963;0,1842;0,107
Australia;AUS;2007;0,0129;0,6354;0,2139;0,1378
Australia;AUS;2008;0,0134;0,6575;0,2032;0,1259
Australia;AUS;2009;0,0144;0,6874;0,1911;0,1071
Australia;AUS;2010;0,0144;0,6795;0,1941;0,1121
Australia;AUS;2011;0,0156;0,7005;0,1865;0,0974
Australia;AUS;2012;0,0162;0,5568;0,2478;0,1792
Australia;AUS;2013;0,0172;0,5546;0,2488;0,1793
Australia;AUS;2014;0,0207;0,6193;0,2304;0,1296
Austria;AUT;1990;0,0215;0,5911;0,2396;0,1478
Austria;AUT;1991;0,0227;0,7423;0,1526;0,0824
Austria;AUT;1992;0,0208;0,7616;0,1408;0,0768
Austria;AUT;1993;0,0219;0,7466;0,1497;0,0818
Austria;AUT;1994;0,0212;0,7495;0,1479;0,0814
Austria;AUT;1995;0,0206;0,7563;0,1424;0,0807
Austria;AUT;1996;0,0191;0,7703;0,1332;0,0774
Austria;AUT;1997;0,0178;0,7848;0,1229;0,0744
Austria;AUT;1998;0,0179;0,7854;0,1211;0,0757
Austria;AUT;1999;0,0175;0,7895;0,1175;0,0755
Austria;AUT;2000;0,0177;0,7867;0,1181;0,0776
Austria;AUT;2001;0,0174;0,7918;0,1139;0,0768
Austria;AUT;2002;0,0158;0,8204;0,0979;0,0659
Austria;AUT;2003;0,016;0,8229;0,0943;0,0668
Austria;AUT;2004;0,0153;0,829;0,0856;0,0701
Austria;AUT;2005;0,0158;0,8471;0,084;0,0531
Austria;AUT;2006;0,0162;0,8506;0,0819;0,0513
Austria;AUT;2007;0,0167;0,8526;0,08;0,0506
Austria;AUT;2008;0,0177;0,8501;0,081;0,0512
Austria;AUT;2009;0,0182;0,8496;0,0798;0,0523
Austria;AUT;2010;0,0204;0,8384;0,085;0,0561
Austria;AUT;2011;0,0198;0,8471;0,0792;0,054
Austria;AUT;2012;0,0213;0,841;0,0815;0,0562
Austria;AUT;2013;0,023;0,8357;0,0839;0,0574
Austria;AUT;2014;0,0239;0,8361;0,0831;0,0569
Azerbaijan;AZE;1990;0,026;0,8267;0,087;0,0604
Azerbaijan;AZE;1991;0,0005;0,7707;0,1898;0,0389
Azerbaijan;AZE;1992;0,0004;0,8044;0,162;0,0332
Azerbaijan;AZE;1993;0,0006;0,7453;0,2083;0,0458
Azerbaijan;AZE;1994;0,0005;0,7899;0,1728;0,0368
Azerbaijan;AZE;1995;0,0006;0,7799;0,1805;0,0389
Azerbaijan;AZE;1996;0,0006;0,7807;0,1782;0,0405
Azerbaijan;AZE;1997;0,0007;0,752;0,2044;0,0429
Azerbaijan;AZE;1998;0,0007;0,7384;0,2156;0,0452
Azerbaijan;AZE;1999;0,0008;0,7303;0,2235;0,0455
Azerbaijan;AZE;2000;0,0008;0,7193;0,2331;0,0468
Azerbaijan;AZE;2001;0,0008;0,7187;0,2349;0,0456
Azerbaijan;AZE;2002;0,0013;0,6992;0,2503;0,0492
Azerbaijan;AZE;2003;0,0018;0,6843;0,2628;0,0512
Azerbaijan;AZE;2004;0,0024;0,6489;0,2932;0,0555
Azerbaijan;AZE;2005;0,0029;0,6359;0,3039;0,0573
Azerbaijan;AZE;2006;0,0032;0,6435;0,2988;0,0545
Azerbaijan;AZE;2007;0,0039;0,5419;0,39;0,0641
Azerbaijan;AZE;2008;0,0047;0,4433;0,4818;0,0702
Azerbaijan;AZE;2009;0,0046;0,4415;0,4868;0,0671
Azerbaijan;AZE;2010;0,0051;0,3662;0,5583;0,0704
Azerbaijan;AZE;2011;0,0053;0,3344;0,5924;0,068
Azerbaijan;AZE;2012;0,0053;0,3688;0,563;0,0629
Azerbaijan;AZE;2013;0,0055;0,3831;0,5512;0,0602
Azerbaijan;AZE;2014;0,0057;0,3808;0,555;0,0585
Bahamas;BHS;1990;0,0059;0,3848;0,5526;0,0567
Bahamas;BHS;1991;0;0,655;0,2863;0,0587
Bahamas;BHS;1992;0,0007;0,5545;0,3702;0,0747
Bahamas;BHS;1993;0,0013;0,5566;0,3676;0,0745
Bahamas;BHS;1994;0,0023;0,4755;0,4362;0,0861
Bahamas;BHS;1995;0,0031;0,4626;0,4489;0,0855
Bahamas;BHS;1996;0,0038;0,4469;0,4539;0,0954
Bahamas;BHS;1997;0,0074;0,4284;0,461;0,1032
Bahamas;BHS;1998;0,0279;-0,4471;1,1734;0,2458
Bahamas;BHS;1999;0,0137;0,4208;0,4541;0,1115
Bahamas;BHS;2000;0,0173;0,414;0,4675;0,1012
Bahamas;BHS;2001;0,02;0,3938;0,4825;0,1037
Bahamas;BHS;2002;0,0161;0,6975;0,2465;0,0399
Bahamas;BHS;2003;0,0193;0,7004;0,2449;0,0354
Bahamas;BHS;2004;0,0253;0,7062;0,243;0,0254
Bahamas;BHS;2005;0,0196;0,6523;0,2631;0,065
Bahamas;BHS;2006;0,023;0,6952;0,2355;0,0463
Bahamas;BHS;2007;0,0043;0,9557;0,0343;0,0057
Bahamas;BHS;2008;0,005;0,9556;0,034;0,0054
Bahamas;BHS;2009;0,0056;0,9331;0,049;0,0123
Bahamas;BHS;2010;0,0062;0,9511;0,0365;0,0061
Bahamas;BHS;2011;0,0069;0,956;0,0328;0,0042
Bahamas;BHS;2012;0,0193;0,8204;0,1286;0,0318
Bahamas;BHS;2013;0,0213;0,873;0,0923;0,0135
Bahamas;BHS;2014;0,0169;0,8725;0,0902;0,0205
Bahrain;BHR;1990;0,0211;0,8892;0,0787;0,011
Bahrain;BHR;1991;0,0074;0,7949;0,1952;0,0025
Bahrain;BHR;1992;0,0082;0,7839;0,2053;0,0026
Bahrain;BHR;1993;0,0076;0,8073;0,1828;0,0023
